SatisfiesConds,Places,Transitions,Arcs,Variables,Conditions,Boundedness,LtsStates,LtsArcs,CgRefStates,CgRefArcs,DeadTransitions,Deadlocks,Soundness,VerificationTime,LtsTime,CgRefTime,Id
True,4,5,10,1,2,True,7,9,7,9,0,False,True,140,83,37,d6507813-b837-4bbf-bd41-409f6d532b11
True,4,5,10,1,2,True,6,6,6,6,0,False,True,82,57,12,ef6154d6-e67d-41dd-8a39-ae5c5f5615e1
True,4,5,10,1,2,True,4,5,4,5,0,False,True,71,51,10,6bb8cf88-8cec-4dc8-b370-15df914da178
True,8,10,20,2,4,True,16,18,16,18,0,False,True,155,95,44,dd601c7c-d8a6-4c09-9223-ffce596d16f7
True,8,10,20,2,5,True,13,18,13,18,0,False,True,131,79,38,178460a1-4cb7-435b-817d-8c067640c247
True,4,5,10,1,2,True,8,10,8,10,0,False,True,114,71,29,e93a3dec-ed8e-4c68-a687-6caf197b43fa
True,4,5,10,1,2,True,5,5,5,5,0,False,True,74,55,11,cdac3126-3cef-490e-bf7c-7163d47fe871
True,4,5,10,1,2,True,7,6,7,6,0,False,True,75,55,13,ba59681b-2bf3-47f4-b01d-020509e5df57
True,8,10,20,2,5,True,25,28,25,28,0,False,True,216,117,91,09c39064-bbce-4e51-bf72-51b87ae91b77
True,8,10,20,2,5,True,11,12,13,14,0,False,True,123,78,31,3cd3dcbd-117c-4dbb-97e1-084bcb9f2eac
True,8,10,20,2,5,True,29,36,29,36,0,False,True,288,147,128,f85ce18c-2aa9-498c-88b9-f2b183dd8801
True,12,15,30,3,7,True,28,30,30,39,0,False,True,278,126,131,a51f9786-e87f-4794-a0bf-38b0f85da9ff
True,12,15,30,3,7,True,66,92,75,105,0,False,True,1017,451,542,06d06cb9-9b92-48a7-ace6-f90f803c6cc2
True,12,15,30,3,7,True,22,27,22,27,0,False,True,171,99,57,aa00f94a-a04a-4cce-9267-e5f11a700ee5
True,16,20,40,5,10,True,54,65,54,65,0,False,True,598,297,285,5d902f4d-38f3-44e1-bfc2-540bcf384564
True,16,20,40,5,10,True,82,89,171,194,0,False,True,2036,427,1592,2e1c8699-0732-4d86-b18c-967674202bc0
True,16,20,40,5,9,True,55,60,55,60,0,False,True,728,349,367,477957e2-ca35-4c6d-bcea-755bb426c693
True,20,25,50,6,12,True,57,60,62,65,0,False,True,532,247,269,4320bf19-0620-4ffb-8e87-17745b73dcd9
True,20,25,50,6,12,True,96,119,96,119,0,False,True,1243,616,609,0264b6b8-8454-4835-873f-c8d0ad25c32d
True,20,25,50,6,12,True,92,111,229,304,0,False,True,3509,509,2969,39ef0c1e-5a22-4bf4-8e99-12209f30718d
True,24,30,60,7,15,True,311,389,473,625,0,False,True,11482,3428,7671,d7bfa2a9-1360-4ebf-adf9-4b991532f47c
True,24,30,60,7,14,True,381,473,381,473,0,False,True,10908,5414,5459,6822c43e-7259-4ff9-b9f6-479bc5e14528
True,24,30,60,7,15,True,186,214,211,243,0,False,True,3017,1295,1689,e4e52f2b-1930-4409-ac74-367eb63af163
True,28,35,70,8,17,True,800,997,800,997,0,False,True,43527,18885,18903,ea934daf-4571-498d-8017-75ba7709700a
True,28,35,70,8,17,True,103,123,103,123,0,False,True,1435,662,758,2ecb66f7-688a-4c4a-8091-77d0b6b69c09
True,28,35,70,8,17,True,952,1208,2102,2711,0,False,True,266330,35848,230361,091cc6cf-ffb5-49ac-8517-7ca0a604e127
True,28,35,70,8,16,True,256,310,320,390,0,False,True,5882,2334,3519,48305f7a-cc3f-43c0-836d-5f6a8e0affab
True,32,40,80,10,20,True,2227,2565,3932,4639,0,False,True,697081,149925,547010,4dc180a2-44b6-4e36-bcd9-f596b37c12dc
True,32,40,80,10,20,True,157,169,170,184,0,False,True,2099,897,1185,8c676737-79d3-4149-bd07-68b742cf575e
True,32,40,80,10,19,True,643,723,643,723,0,False,True,28993,14368,14602,1d552dde-d6d5-47b8-8519-72697b923f59
True,36,45,90,11,22,True,1102,1255,1102,1255,0,False,True,80230,39774,40365,b719e6e8-3909-43d6-8143-83529698e0d7
True,36,45,90,11,21,True,968,1165,968,1165,0,False,True,80044,39639,40373,c32339d0-640b-487f-8bd9-e1f92b5535cc
True,36,45,90,11,21,True,767,836,767,836,0,False,True,32140,16066,16040,144c8479-bed4-4cbb-91d1-d1cb7a5b10ce
True,40,50,100,12,24,True,877,970,1799,2056,0,False,True,127512,21880,105542,d3912e1f-476b-40fe-8c6f-c95af6753cdc
True,40,50,100,12,25,True,1232,1503,1580,1971,0,False,True,102664,32307,70274,241d5766-8944-4e21-a09e-22521e6c45c9
True,40,50,100,12,25,True,1658,1879,3762,4366,0,False,True,551143,65247,485768,54ce444b-4ff2-4106-b77d-e4e203f7959c
True,44,55,110,13,27,True,524,582,659,746,0,False,True,20989,8847,12122,3cdd0027-f9cd-4532-945f-7f3e095b2cb9
True,44,55,110,13,26,True,852,1020,966,1148,0,False,True,84126,32549,51404,8ac135b3-07fb-408f-bcb8-b803b6359e99
True,44,55,110,13,27,True,3218,3783,3218,3783,0,False,True,561542,279645,281771,a19d6c13-3b8e-498d-90c1-01f732d1aab6
True,48,60,120,15,29,True,2040,2747,2725,3757,0,False,True,750107,228834,506604,4f27f743-b0c8-4a7f-a632-13cffc1c79a6
